resenhas,abandonos,relendo,querem_ler,lendo,leram,favoritos,desejados,trocam,avaliaram
2.246,3.239,317,130.793,4.138,152.565,17.096,9.648,1.405,64.375
138,7,0,2.473,75,756,62,340,5,684
42,2,0,747,52,436,18,58,5,327
48,0,0,511,19,375,24,86,3,335
279,43,1,4.026,185,1.537,163,701,9,1.402
0,1,1,29,3,21,2,6,0,13
148,97,6,3.676,402,1.580,98,568,26,1.202
220,36,6,5.347,229,3.828,352,1.237,1,2.647
17,12,5,781,14,920,100,74,4,468
19,1,0,1.747,41,398,113,295,5,317
157,83,11,3.102,250,4.908,704,631,19,3.182
900,407,32,9.026,1.009,12.085,3.064,1.751,38,9.766
362,31,1,3.100,165,3.621,476,870,7,2.819
2,5,0,535,19,31,5,29,6,26
20,1,0,244,16,217,22,37,7,172
1.952,371,20,21.018,1.626,21.765,1.386,2.856,90,15.934
207,178,3,5.506,267,2.184,371,1.138,24,1.679
0,1,0,69,9,27,5,4,0,16
42,17,0,2.010,49,431,63,277,2,347
14,4,0,1.067,17,135,6,87,5,103
0,1,0,302,2,18,4,9,1,11
9,5,4,1.089,114,131,34,167,4,83
226,71,2,3.133,166,3.438,262,766,36,2.645
42,17,0,2.010,49,431,63,277,2,347
78,18,3,1.872,129,989,65,231,7,706
29,0,0,668,39,252,46,105,2,222
21,6,2,861,30,186,31,74,2,145
56,0,2,1.997,43,780,68,489,2,594
16,0,1,419,20,120,16,78,3,95
1.043,272,36,14.078,752,21.414,4.261,3.351,56,15.772
25,7,0,914,36,586,37,91,2,410
578,894,63,18.913,2.505,17.940,2.311,3.646,57,11.411
123,10,0,2.409,79,1.334,158,398,6,1.041
51,24,1,1.732,92,441,99,344,8,384
30,2,0,1.210,20,253,40,195,3,216
4,2,3,833,98,106,16,123,2,68
741,176,2,9.256,393,6.428,606,1.926,14,5.359
310,69,1,9.703,162,3.473,416,2.063,16,2.792
6,1,0,924,31,69,6,77,6,47
137,48,0,3.555,93,913,69,814,13,752
16,11,0,701,31,221,9,130,9,191
270,53,0,7.357,160,3.128,367,1.859,12,2.393
120,74,2,4.015,127,1.246,168,1.179,7,1.043
776,108,2,4.220,199,6.203,153,643,166,5.098
88,87,6,4.707,133,1.755,291,1.172,27,1.328
1,0,0,45,2,20,2,19,2,21
59,27,1,1.031,68,772,74,277,5,612
203,34,1,3.368,115,2.534,279,722,11,2.068
0,1,0,16,0,4,1,3,1,2
21,8,0,1.860,231,282,37,175,1,200
3,1,0,90,9,8,1,31,1,19
5,3,0,348,24,54,3,45,2,36
36,11,0,1.090,72,502,40,226,4,386
0,0,0,5,0,8,1,2,0,10
9,1,0,638,2,117,9,161,1,79
14,1,0,294,4,175,23,184,1,152
7,0,0,614,10,160,15,172,1,145
10,1,0,356,6,57,3,85,2,50
5,0,0,119,21,46,13,15,2,40
43,5,1,1.189,185,377,44,188,1,298
11,1,0,59,9,37,4,8,1,60
13,1,1,175,9,111,9,20,0,94
665,157,11,10.093,1.074,12.199,1.442,2.277,31,8.846
0,0,0,6,0,19,2,7,0,23
933,215,14,19.456,745,20.282,2.457,4.383,76,13.665
9,2,0,228,24,84,11,70,1,63
221,47,7,4.950,227,2.773,328,1.459,7,2.032
44,27,3,1.447,55,724,108,257,4,478
58,6,0,2.240,50,383,30,286,4,351
156,71,4,4.682,376,2.134,295,705,6,1.652
164,103,2,1.602,282,1.713,71,223,5,1.277
16,1,1,436,15,215,19,96,1,160
143,17,0,2.552,76,1.063,169,584,6,923
5,0,0,329,16,30,3,62,1,34
79,27,1,1.763,49,645,36,261,6,545
0,0,0,1,0,2,0,0,0,3
1.590,560,44,21.149,1.395,31.931,4.569,3.310,171,21.177
1,0,0,65,0,3,0,33,1,11
43,5,1,1.189,185,377,44,188,1,298
4,0,0,9,1,8,0,1,0,7
0,1,0,3,1,19,3,6,1,12
164,41,1,3.191,75,1.568,55,394,58,1.233
210,98,4,7.707,250,3.922,249,1.229,47,2.745
88,26,0,3.355,52,1.209,171,543,4,956
80,68,1,4.276,123,1.200,73,974,21,946
10,6,0,1.663,11,332,86,262,1,236
137,12,3,6.324,85,3.160,199,760,6,2.205
26,4,1,533,15,345,25,179,4,238
751,1.700,220,13.554,2.142,148.672,7.805,2.464,1.174,39.969
4,7,0,225,10,39,3,35,4,24
0,1,0,132,5,12,3,51,1,7
411,353,17,16.702,364,11.376,1.568,3.748,74,7.217
4,1,0,120,4,32,2,28,10,22
0,2,0,260,4,57,12,81,1,38
4,3,0,175,15,43,6,50,7,44
924,72,8,13.677,444,7.725,1.669,3.092,5,6.439
3,0,0,138,4,15,1,36,6,17
15,16,0,3.528,38,332,29,349,9,244
498,122,5,9.661,334,8.639,1.570,2.279,32,6.528
5,3,1,829,17,103,13,50,2,91
2,1,0,552,2,29,2,16,5,18
46,2,2,1.201,30,840,118,487,2,605
84,15,0,2.041,47,729,30,319,18,589
21,1,0,1.391,23,257,46,144,11,185
313,47,1,4.298,102,3.195,206,562,61,2.519
4,1,0,153,16,58,9,31,10,51
155,34,0,2.114,123,2.330,79,445,8,1.720
11,10,0,333,22,358,46,63,5,224
37,18,2,1.643,68,498,65,179,13,379
13,10,1,627,19,189,9,203,5,173
0,2,3,738,20,95,15,42,9,63
2,1,0,552,2,29,2,16,5,18
185,57,2,4.594,122,2.092,127,959,12,1.666
120,13,2,2.162,53,1.001,118,306,14,831
120,13,2,2.162,53,1.001,118,306,14,831
9,1,0,302,23,38,19,100,1,27
41,20,0,541,15,186,7,86,15,144
26,36,5,1.340,213,673,40,203,6,420
26,36,5,1.340,213,673,40,203,6,420
3,1,0,398,13,75,5,97,5,57
411,353,17,16.702,364,11.376,1.568,3.748,74,7.217
1.217,306,57,22.760,1.348,32.474,3.553,3.282,54,18.818
6,4,0,853,22,137,9,61,9,97
59,19,1,2.012,55,444,9,128,27,356
8,13,1,1.023,67,139,19,265,4,100
271,167,1,6.007,202,3.489,185,1.305,58,2.682
59,4,0,2.507,19,626,92,403,5,578
99,93,2,7.969,145,2.610,175,1.815,31,1.614
103,89,4,6.391,144,1.871,173,1.607,22,1.186
16,0,0,78,1,42,2,7,0,85
211,80,7,6.031,377,5.911,470,1.603,8,3.886
38,6,1,723,40,353,64,175,3,281
19,4,0,401,33,183,15,74,6,134
1,0,0,71,8,20,2,6,8,14
4,1,1,384,19,93,6,66,11,67
67,14,0,1.899,63,589,44,277,20,472
90,14,1,1.609,82,1.033,84,281,3,826
593,36,4,5.409,269,3.421,468,1.205,12,2.877
61,4,0,1.078,30,515,74,163,2,448
252,62,4,3.928,94,3.671,547,1.059,12,2.883
21,1,0,2.346,20,538,30,536,6,391
44,61,0,1.815,49,470,15,273,36,357
293,240,6,7.747,868,4.336,501,1.609,26,3.243
1.560,165,15,19.913,784,13.828,2.135,2.979,11,10.390
0,0,0,3,0,3,1,3,0,3
92,7,0,751,46,636,62,97,15,580
350,92,2,6.087,193,4.986,720,1.486,19,4.035
68,4,2,1.815,23,624,56,296,6,494
3,10,1,370,43,104,9,68,3,67
0,0,0,169,10,33,3,40,1,16
2,1,0,193,15,56,4,37,3,33
129,28,5,2.004,143,2.052,230,300,32,1.616
2,4,0,258,15,55,4,49,1,60
23,15,0,831,39,432,46,142,1,305
206,22,5,5.711,246,5.004,720,1.455,5,3.471
79,12,0,2.955,78,893,149,622,7,705
1.590,560,44,21.149,1.395,31.931,4.569,3.310,171,21.177
517,398,16,16.133,1.188,20.197,2.385,3.703,158,11.857
16,3,3,366,34,250,53,142,3,178
339,105,10,9.774,268,9.495,1.664,2.690,60,6.006
14,3,0,1.113,43,162,34,209,2,127
8,1,1,409,5,83,11,27,2,62
116,54,4,3.653,621,1.501,329,889,2,1.137
36,9,4,1.195,99,483,47,175,1,350
1,1,0,28,2,3,2,15,1,7
102,30,0,2.225,80,1.018,113,266,61,809
139,870,42,9.506,2.081,12.395,1.368,1.980,130,6.492
1,2,0,628,17,27,1,51,3,16
0,0,0,13,1,4,1,11,0,8
2,8,0,70,2,48,3,14,3,34
39,8,0,993,49,292,32,90,3,241
3,6,1,61,3,127,24,13,5,92
51,8,2,2.480,41,710,120,677,10,560
3,0,0,89,3,23,3,15,3,26
12,7,0,60,34,86,5,7,4,78
391,276,5,15.500,712,14.404,1.763,3.571,57,8.452
25,0,3,1.144,24,604,74,175,1,398
135,59,2,3.823,209,1.493,360,611,15,1.254
3.252,929,143,42.228,3.782,113.190,22.737,6.946,635,62.917
680,1.525,147,14.108,1.857,69.182,7.037,2.443,956,32.425
10,4,0,90,6,208,15,17,6,152
88,26,0,3.355,52,1.209,171,543,4,956
1,0,0,9,2,10,1,14,0,24
2,5,0,10,0,13,1,1,1,20
210,98,4,7.707,250,3.922,249,1.229,47,2.745
1.217,306,57,22.760,1.348,32.474,3.553,3.282,54,18.818
0,1,0,52,0,54,3,10,0,34
2,1,0,21,1,4,2,3,0,13
1,0,0,48,1,28,6,21,1,28
10,21,2,517,18,199,8,110,30,160
3,12,0,251,12,30,4,53,22,31
1.160,1.753,56,42.414,3.351,47.306,3.976,4.762,647,23.424
56,60,1,1.900,72,1.129,74,500,63,814
9,7,1,294,19,136,10,68,15,105
22,10,0,273,12,201,23,52,14,174
1.043,272,36,14.078,752,21.414,4.261,3.351,56,15.772
22,10,0,1.157,22,246,24,373,19,202
149,560,37,8.729,936,7.904,677,1.998,23,4.458
78,38,1,1.452,58,967,71,449,19,672
12,12,9,792,72,571,145,159,59,319
8,1,1,170,8,139,19,50,3,122
10,25,0,401,22,164,15,78,26,134
145,46,0,2.639,66,2.279,214,891,40,1.809
38,21,1,1.403,38,718,51,466,5,519
143,537,9,4.199,309,4.310,314,938,151,2.665
78,38,4,1.525,111,707,148,436,5,574
51,1,0,630,26,501,97,121,8,394
146,228,8,4.262,255,2.253,466,1.576,20,1.759
4,0,0,30,2,24,5,11,1,26
0,1,0,240,9,44,10,108,4,26
8,2,0,338,14,112,42,94,3,121
3,2,0,402,21,56,12,108,8,48
22,10,0,273,12,201,23,52,14,174
184,205,5,6.365,245,4.307,434,1.571,88,2.819
398,140,25,7.361,568,11.921,1.269,2.031,44,7.689
32,61,6,1.452,272,817,68,240,7,524
37,60,3,1.167,51,511,42,202,43,380
8,1,0,596,11,168,8,130,3,118
0,0,0,255,7,23,5,118,2,14
695,1.025,27,19.732,1.229,19.755,2.552,3.562,356,11.450
3.024,1.433,176,65.785,4.887,120.880,22.209,8.129,1.238,59.311
0,0,0,37,0,7,4,17,2,12
31,0,0,311,11,281,13,55,3,262
64,10,0,1.152,26,1.075,102,344,16,832
2,1,0,68,5,51,5,21,4,43
50,7,1,839,120,713,37,147,5,550
10,17,0,366,18,140,10,76,14,110
27,0,3,1.415,49,727,163,426,2,525
17,2,0,320,9,360,34,73,15,243
309,218,20,9.555,474,8.712,1.094,2.515,29,5.634
172,215,1,3.106,175,1.819,61,843,102,1.412
12,5,0,414,41,136,13,54,4,100
24,17,0,699,18,173,14,162,33,127
28,47,2,950,79,510,61,277,29,404
14,10,0,474,28,113,10,65,27,84
425,21,5,3.699,42,6.744,327,1.219,26,5.116
194,320,3,6.539,345,3.845,396,1.492,93,2.631
54,1,3,1.625,24,1.572,222,716,28,1.144
288,100,4,5.207,238,3.947,880,2.120,5,3.136
3,0,0,223,12,41,2,22,1,21
33,6,1,720,10,489,60,208,11,411
93,27,0,1.400,61,921,87,353,10,703
37,34,0,1.312,79,431,29,286,7,315
5,12,0,453,14,67,9,135,10,58
41,40,0,1.331,38,367,42,367,27,310
33,16,2,1.665,107,893,99,606,4,628
1,0,0,129,2,61,0,52,0,47
,,,,,,,,,
2,0,0,182,1,58,1,75,0,43
60,39,1,1.045,45,620,59,260,22,488
3,1,0,60,5,32,6,21,1,37
9,8,0,342,11,117,13,88,6,92
27,11,0,1.135,111,401,48,137,17,283
84,30,0,1.870,44,1.071,97,474,31,856
59,6,1,804,27,1.019,155,327,17,722
3.024,1.433,176,65.785,4.887,120.880,22.209,8.129,1.238,59.311
1.160,1.753,56,42.414,3.351,47.306,3.976,4.762,647,23.424
145,46,0,2.639,66,2.279,214,891,40,1.809
5,0,0,95,1,177,4,23,14,137
8,0,0,115,0,231,5,24,14,172
6,1,0,66,0,187,3,26,12,137
4,1,0,69,2,192,3,23,14,140
5,0,0,74,1,179,3,23,14,122
38,53,1,1.047,36,376,10,253,63,299
164,42,5,4.945,193,4.433,606,1.903,20,3.047
20,0,1,327,3,381,23,65,1,279
43,7,0,1.400,33,779,102,463,4,610
2,1,0,412,26,37,9,46,2,31
46,13,2,1.153,25,574,71,381,16,453
28,17,0,367,25,386,22,79,41,302
277,5,5,2.486,69,4.172,922,1.143,5,3.527
225,62,13,6.873,396,7.567,861,1.950,11,4.971
112,6,6,4.257,96,3.267,499,898,14,2.092
578,894,63,18.913,2.505,17.940,2.311,3.646,57,11.411
12,2,1,578,51,198,10,67,7,145
165,108,32,9.028,399,7.011,727,926,151,4.151
298,29,2,3.345,88,4.278,231,677,14,3.132
28,0,0,798,5,501,13,162,2,369
14,18,0,786,25,320,31,94,59,238
5,1,0,234,9,71,3,56,5,57
8,0,0,445,51,153,17,81,1,96
1,0,0,5,0,1,0,2,0,0
4,1,1,81,5,16,5,18,3,21
141,141,7,8.923,237,3.127,228,1.229,54,2.119
161,258,4,8.102,283,2.521,268,1.151,55,1.887
2,1,1,421,28,42,5,47,5,24
96,103,1,2.055,101,1.269,52,275,103,925
1,0,0,19,2,1,1,5,1,3
11,5,0,217,11,155,19,38,11,128
1.391,1.622,83,38.081,3.314,55.103,5.186,5.596,1.384,30.946
12,1,2,302,4,311,17,54,1,242
0,0,0,1,0,3,0,4,0,1
695,1.025,27,19.732,1.229,19.755,2.552,3.562,356,11.450
154,77,16,1.044,68,14.823,520,211,67,6.408
9,22,4,81,20,426,37,7,12,243
339,692,45,4.943,894,17.125,2.642,1.208,336,9.765
65,3,1,888,10,221,30,118,2,229
0,0,0,2,1,1,0,0,0,1
0,0,0,15,0,8,3,10,0,7
93,27,0,1.400,61,921,87,353,10,703
92,88,10,6.168,541,5.103,786,1.950,11,2.964
120,44,2,4.729,178,3.121,716,1.348,24,2.318
89,166,20,4.843,634,1.271,368,1.627,6,919
26,28,0,909,41,552,80,259,26,441
54,33,1,1.530,87,1.045,51,515,5,779
2.246,3.239,317,130.793,4.138,152.565,17.096,9.648,1.405,64.375
35,32,1,1.770,46,1.118,204,589,32,835
396,298,26,10.818,1.029,14.384,1.690,2.490,80,8.485
52,79,5,2.032,223,1.983,221,424,39,1.291
6,1,0,497,19,211,10,86,15,148
16,2,0,537,10,345,57,164,16,242
10,19,2,904,90,238,11,173,2,138
2.549,684,45,26.661,1.795,50.302,7.215,5.233,416,33.312
933,215,14,19.456,745,20.282,2.457,4.383,76,13.665
5,5,0,577,45,229,23,108,4,136
246,50,0,4.811,122,2.877,413,1.441,14,2.319
37,18,5,1.182,69,1.551,112,363,29,949
271,603,46,14.765,1.850,9.432,858,2.465,49,5.398
158,110,3,3.773,102,2.665,457,1.097,55,1.958
45,1,0,734,12,1.001,83,271,5,774
89,15,6,3.411,121,4.327,628,1.149,12,2.604
44,40,0,2.589,87,1.327,175,741,20,973
93,133,2,2.002,83,1.508,192,645,92,1.187
1,0,0,121,0,145,31,69,4,125
27,23,3,906,84,785,206,234,13,579
20,19,0,753,35,359,40,242,27,255
11,24,0,622,36,373,30,134,24,274
23,18,0,450,16,215,16,94,24,187
6,3,0,192,18,95,6,48,8,69
7,2,0,189,10,141,19,72,3,130
426,466,5,17.042,1.087,8.411,1.501,3.423,70,5.694
60,40,1,1.418,42,1.242,84,429,63,966
141,65,7,4.980,245,5.555,559,1.288,21,3.503
3,13,1,869,42,206,44,309,21,113
3,3,0,226,12,44,6,51,1,30
2,1,0,95,7,55,7,33,2,46
20,17,0,899,27,269,28,266,6,211
1,1,0,288,4,105,6,102,0,72
100,169,3,3.357,179,1.833,93,798,119,1.300
288,73,7,5.455,151,6.116,1.076,1.857,43,4.385
23,13,1,477,18,419,32,114,29,297
13,12,1,445,63,181,21,79,3,131
17,33,0,979,40,264,21,237,27,191
361,190,2,7.467,336,6.674,556,2.059,33,4.724
4,0,0,104,2,121,19,44,1,99
11,1,0,239,1,308,21,111,2,218
4,1,0,142,7,92,5,26,6,72
1.700,3.384,151,116.953,3.831,116.065,8.425,6.590,2.030,53.990
15,8,0,497,30,239,16,123,17,206
33,7,3,1.737,98,1.095,251,459,3,767
0,0,0,47,0,57,6,19,4,45
229,130,4,4.628,181,7.350,1.226,1.437,127,5.267
90,87,2,1.937,77,1.141,127,428,26,870
276,278,24,6.187,499,14.245,1.724,1.500,401,7.936
55,32,0,688,35,828,39,97,55,602
7,1,1,210,9,90,8,51,3,66
6,3,0,255,24,163,26,48,2,134
18,26,2,692,13,212,20,146,32,162
150,632,10,7.145,329,17.741,795,1.165,608,9.026
125,344,10,7.176,217,14.474,709,1.160,486,7.483
243,922,20,6.853,557,23.254,1.000,1.259,763,12.010
2,9,0,45,5,120,24,24,8,42
16,9,4,539,62,556,134,237,5,343
0,0,0,4,0,1,0,1,0,1
10,0,0,537,2,213,22,256,1,185
31,32,2,1.490,85,816,123,476,17,563
2,1,1,230,2,89,5,82,1,62
163,114,6,3.898,117,3.137,674,1.334,27,2.419
25,8,0,652,13,361,21,142,31,235
8,7,0,258,13,160,8,37,5,128
18,4,0,464,51,317,45,91,2,241
23,40,0,579,31,241,5,95,31,198
16,24,0,579,108,314,32,102,9,198
54,5,0,1.176,12,1.563,137,446,1,1.111
3,6,3,947,35,113,38,355,9,58
1,1,0,478,26,82,30,149,10,54
49,4,3,1.555,19,2.302,198,516,1,1.436
4,8,1,265,32,78,29,35,5,60
25,13,0,377,20,298,26,55,22,226
14,16,0,508,23,280,18,100,14,194
71,88,2,1.961,59,1.353,43,620,76,992
3,0,1,218,11,65,10,40,1,43
87,74,0,2.654,96,1.645,176,755,53,1.172
37,21,1,1.465,126,769,109,364,1,576
342,57,1,2.137,104,2.929,718,431,145,2.411
7,2,0,141,7,134,15,51,3,111
142,2,0,2.073,25,2.652,109,912,5,2.008
45,45,1,1.110,35,769,38,285,36,558
118,59,4,1.618,52,1.353,166,394,25,1.064
18,5,1,523,33,206,47,202,1,174
12,11,0,375,21,238,18,98,11,166
71,49,2,1.554,288,1.670,161,282,8,1.113
21,1,0,219,2,373,53,80,2,289
0,0,0,51,1,15,4,22,2,16
21,6,0,258,11,227,20,60,9,189
1,2,1,132,1,10,1,41,2,16
7,17,0,291,14,107,5,41,21,77
4,6,1,129,20,31,1,20,3,26
15,12,0,274,14,200,14,52,20,172
10,12,1,445,19,167,22,97,8,120
84,26,1,1.953,47,1.195,80,514,36,905
256,228,13,4.042,314,4.941,683,1.028,37,3.337
609,1.021,69,7.200,1.026,27.940,3.064,1.824,867,15.478
0,0,0,53,0,51,4,5,1,26
1,0,0,82,1,46,5,17,1,25
0,0,0,47,1,28,2,9,0,20
114,22,2,3.150,156,3.788,670,1.249,19,2.708
10,0,0,149,2,343,49,73,2,260
53,31,0,968,64,716,61,246,22,541
39,67,26,3.055,510,866,302,1.319,1,552
46,10,0,955,27,723,49,276,16,535
5,0,0,67,3,34,5,11,4,35
16,24,0,579,108,314,32,102,9,198
7,0,1,511,7,212,42,281,2,137
2.844,5.411,672,13.946,2.167,350.667,15.229,2.759,3.532,106.567
4,1,0,376,7,87,4,119,1,50
60,40,1,1.418,42,1.242,84,429,63,966
396,298,26,10.818,1.029,14.384,1.690,2.490,80,8.485
0,1,0,90,9,33,5,31,1,25
16,25,4,177,26,690,54,22,40,426
0,0,0,2,0,3,1,2,0,2
0,0,0,1,1,4,1,2,0,3
6,2,0,55,7,48,11,6,4,48
0,0,0,1,0,1,0,0,0,2
2.844,5.411,672,13.946,2.167,350.667,15.229,2.759,3.532,106.567
108,11,1,971,71,1.364,168,198,3,1.120
0,0,1,2,1,5,0,1,0,2
26,32,0,358,26,357,13,38,37,243
2.549,684,45,26.661,1.795,50.302,7.215,5.233,416,33.312
0,0,0,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0
141,65,7,4.980,245,5.555,559,1.288,21,3.503
608,213,55,13.427,950,37.554,4.146,2.893,97,19.390
42,211,3,2.786,158,2.216,134,709,62,1.274
69,6,3,2.217,175,1.956,411,711,1,1.410
15,4,1,931,19,1.374,122,367,7,822
42,4,4,1.924,96,1.525,302,509,6,1.075
9,5,4,1.384,25,899,159,451,4,558
